"","year","season","dompred","contrast","response","SE","df","asymp.LCL","asymp.UCL"
"103","2010","Sp",".","N - B",0.435070336470563,0.28517938429956,Inf,0.129376946164161,Inf
"104","2010","Sp",".","S - G",Inf,Inf,Inf,Inf,Inf
"105","2010","Sp",".","S - B",Inf,Inf,Inf,4.47165449382914,Inf
"106","2010","Sp",".","G - B",0.432741677801259,0.159528677323732,Inf,0.185816636811842,Inf
"107","2011","Sp",".","N - S",0.204214536708428,0.0689047588421345,Inf,0.0921429902188805,Inf
"108","2011","Sp",".","N - G",1.20285632453683,2.38319267414273,Inf,0.147735926620284,Inf
"109","2011","Sp",".","N - B",8.58892741386366,123.255655045934,Inf,0.162886518762713,Inf
"110","2011","Sp",".","S - G",Inf,Inf,Inf,Inf,Inf
"111","2011","Sp",".","S - B",Inf,Inf,Inf,Inf,Inf
"112","2011","Sp",".","G - B",Inf,Inf,Inf,0.430334197524992,Inf
"113","2008","Su",".","N - S",0.624831766516786,0.480915984146044,Inf,0.165542549402463,Inf
"114","2008","Su",".","N - G",Inf,Inf,Inf,0.561484229049806,Inf
"115","2008","Su",".","N - B",Inf,Inf,Inf,0.292440047815913,Inf
"116","2008","Su",".","S - G",Inf,Inf,Inf,Inf,Inf
"117","2008","Su",".","S - B",Inf,Inf,Inf,2.66295698230095,Inf
"118","2008","Su",".","G - B",0.628422142936252,0.344709691335999,Inf,0.211071169729671,Inf
"119","2009","Su",".","N - S",0.899445358242234,1.05064026381874,Inf,0.172616532433134,Inf
"120","2009","Su",".","N - G",Inf,Inf,Inf,0.41152302714093,Inf
"121","2009","Su",".","N - B",Inf,Inf,Inf,0.393709556192452,Inf
"122","2009","Su",".","S - G",Inf,Inf,Inf,Inf,Inf
"123","2009","Su",".","S - B",Inf,Inf,Inf,Inf,Inf
"124","2009","Su",".","G - B",25.1945475340194,530.632069485122,Inf,0.327541303821881,Inf
"125","2010","Su",".","N - S",0.283760468604111,0.108261134687692,Inf,0.119463999257738,Inf
"126","2010","Su",".","N - G",Inf,Inf,Inf,0.494743201997203,Inf
"127","2010","Su",".","N - B",Inf,Inf,Inf,0.281019599569431,Inf
"128","2010","Su",".","S - G",Inf,Inf,Inf,Inf,Inf
"129","2010","Su",".","S - B",Inf,Inf,Inf,Inf,Inf
"130","2010","Su",".","G - B",0.668414246700493,0.386398956116138,Inf,0.216748604328803,Inf
"131","2011","Su",".","N - S",0.291809992957172,0.143904371047432,Inf,0.105056729191908,Inf
"132","2011","Su",".","N - G",Inf,Inf,Inf,0.247868021363131,Inf
"133","2011","Su",".","N - B",Inf,Inf,Inf,0.383517793573938,Inf
"134","2011","Su",".","S - G",Inf,Inf,Inf,Inf,Inf
"135","2011","Su",".","S - B",Inf,Inf,Inf,Inf,Inf
"136","2011","Su",".","G - B",Inf,Inf,Inf,0.599469697276998,Inf
"137","2008","F",".","N - S",0.662363006926784,0.538595004269264,Inf,0.168491275299478,Inf
"138","2008","F",".","N - G",Inf,Inf,Inf,0.712416818929899,Inf
"139","2008","F",".","N - B",Inf,Inf,Inf,0.577071100043403,Inf
"140","2008","F",".","S - G",Inf,Inf,Inf,Inf,Inf
"141","2008","F",".","S - B",Inf,Inf,Inf,Inf,Inf
"142","2008","F",".","G - B",4.11216299258045,14.7783158842289,Inf,0.294680834838699,Inf
"143","2009","F",".","N - S",0.979324852939685,1.30555498311172,Inf,0.168689049527247,Inf
"144","2009","F",".","N - G",Inf,Inf,Inf,0.440832687648256,Inf
"145","2009","F",".","N - B",Inf,Inf,Inf,0.952578940204791,Inf
"146","2009","F",".","S - G",Inf,Inf,Inf,Inf,Inf
"147","2009","F",".","S - B",Inf,Inf,Inf,Inf,Inf
"148","2009","F",".","G - B",Inf,Inf,Inf,0.549355180932455,Inf
"149","2010","F",".","N - S",0.291255257671371,0.11648413521811,Inf,0.11928564898389,Inf
"150","2010","F",".","N - G",Inf,Inf,Inf,0.576420907491166,Inf
"151","2010","F",".","N - B",Inf,Inf,Inf,0.512222908421687,Inf
"152","2010","F",".","S - G",Inf,Inf,Inf,Inf,Inf
"153","2010","F",".","S - B",Inf,Inf,Inf,Inf,Inf
"154","2010","F",".","G - B",6.75802497444223,40.7319202022785,Inf,0.297365944460402,Inf
"155","2011","F",".","N - S",0.299741970317073,0.15719645937892,Inf,0.103700718497822,Inf
"156","2011","F",".","N - G",Inf,Inf,Inf,0.260288352408235,Inf
"157","2011","F",".","N - B",Inf,Inf,Inf,0.929278783017884,Inf
"158","2011","F",".","S - G",Inf,Inf,Inf,Inf,Inf
"159","2011","F",".","S - B",Inf,Inf,Inf,Inf,Inf
"160","2011","F",".","G - B",Inf,Inf,Inf,2.33192390135266,Inf
