"","dompred","season","year","emmean","SE","df","lower.CL","upper.CL","LowerSE","UpperSE"
"27","G","W","2010",1.81120773268466,0.154597227139736,170.90667641566,1.50604182926935,2.11637363609997,1.65661050554493,1.9658049598244
"28","B","W","2010",1.70733835086308,0.160239173020825,152.23235135983,1.39075866702325,2.0239180347029,1.54709917784225,1.8675775238839
"29","N","Sp","2010",0.591696647288775,0.270614348139019,175.978768953817,0.0576294793717373,1.12576381520581,0.321082299149756,0.862310995427794
"30","S","Sp","2010",1.88826581017382,0.179830820433746,207.187358173072,1.53373296074576,2.24279865960189,1.70843498974008,2.06809663060757
"31","G","Sp","2010",1.43804405680926,0.155404511226296,173.046439247109,1.13131166673412,1.74477644688441,1.28263954558297,1.59344856803556
"32","B","Sp","2010",1.46875009442481,0.168834051514858,179.715602908267,1.13559797184705,1.80190221700258,1.29991604290995,1.63758414593967
"33","N","Su","2010",0.877295828490473,0.254978916987834,145.334535907317,0.373350070905154,1.38124158607579,0.622316911502639,1.13227474547831
"34","S","Su","2010",1.42401756492904,0.174193653740728,180.994444319394,1.08030605934345,1.76772907051463,1.24982391118832,1.59821121866977
"35","G","Su","2010",1.30483514462645,0.146087076844084,141.656947233367,1.01604259465768,1.59362769459522,1.15874806778236,1.45092222147053
"36","B","Su","2010",1.44666789741166,0.156551699724203,140.551039276649,1.13716735551891,1.75616843930442,1.29011619768746,1.60321959713587
"37","N","F","2010",1.18200965593772,0.258848973395027,153.070849733771,0.670632017847345,1.69338729402809,0.92316068254269,1.44085862933274
"38","S","F","2010",1.69563329373421,0.179637824009342,201.556600971327,1.34142279885336,2.04984378861506,1.51599546972487,1.87527111774356
"39","G","F","2010",1.20850165371165,0.146586537868148,143.308619793871,0.91875051276189,1.49825279466142,1.06191511584351,1.3550881915798
"40","B","F","2010",1.29221929409694,0.156527970305601,140.51237369928,0.982764925510176,1.60167366268371,1.13569132379134,1.44874726440254
"41","N","W","2011",1.39278328435843,0.265743498533718,166.266634508019,0.868116723015274,1.91744984570158,1.12703978582471,1.65852678289215
"42","S","W","2011",1.61841755662547,0.18659214978555,220.59653978773,1.25068620443066,1.98614890882027,1.43182540683992,1.80500970641102
"43","G","W","2011",1.48017588573854,0.151676395914213,160.641118323243,1.18063904437628,1.7797127271008,1.32849948982433,1.63185228165275
"44","B","W","2011",1.65346065562922,0.159532710145196,149.999657385596,1.33823911734582,1.96868219391261,1.49392794548402,1.81299336577441
"45","N","Sp","2011",0.401579758369989,0.278300487614788,189.196042799275,-0.14739074857709,0.950550265317069,0.123279270755202,0.679880245984777
"46","S","Sp","2011",1.4032530554013,0.187972689657755,228.879363439486,1.0328749007316,1.773631210071,1.21528036574354,1.59122574505905
"47","G","Sp","2011",1.10701220986314,0.150927942318979,158.07865581053,0.808916772108721,1.40510764761756,0.956084267544162,1.25794015218212
"48","B","Sp","2011",1.41487239919095,0.162115002422352,158.022137307708,1.09468068920496,1.73506410917694,1.2527573967686,1.5769874016133
"49","N","Su","2011",0.687178939571687,0.278612189291965,191.236946193509,0.137631327620156,1.23672655152322,0.408566750279723,0.965791128863652
"50","S","Su","2011",0.939004810156517,0.184943960626438,208.863936022027,0.574408701430166,1.30360091888287,0.754060849530079,1.12394877078295
"51","G","Su","2011",0.973803297680326,0.145674778798541,140.210078553317,0.68580019630389,1.26180639905676,0.828128518881785,1.11947807647887
"52","B","Su","2011",1.3927902021778,0.155813500388968,138.318194053939,1.0847058848751,1.70087451948051,1.23697670178883,1.54860370256677
"53","N","F","2011",0.991892767018932,0.288946643082991,214.212919786715,0.422350005331034,1.56143552870683,0.702946123935941,1.28083941010192
"54","S","F","2011",1.21062053896169,0.205017262907597,275.586351931812,0.80702163678412,1.61421944113925,1.00560327605409,1.41563780186928
"55","G","F","2011",0.877469806765533,0.147160651694483,144.95230980713,0.586611924234801,1.16832768929626,0.73030915507105,1.02463045846002
"56","B","F","2011",1.23834159886308,0.155819701394949,138.328956335112,0.930245232072101,1.54643796565406,1.08252189746813,1.39416130025803
