"","dompred","season","contrast","response","SE","df","asymp.LCL","asymp.UCL"
"84",".",".","S Sp_Su - N Su_F",Inf,Inf,Inf,Inf,Inf
"85",".",".","S Sp_Su - S Su_F",5.48690121644778,22.52158369908,Inf,0.351234309040993,Inf
"86",".",".","S Sp_Su - G Su_F",Inf,Inf,Inf,0.574131314586911,Inf
"87",".",".","S Sp_Su - B Su_F",Inf,Inf,Inf,0.346485957459402,Inf
"88",".",".","S Sp_Su - N F_W",Inf,Inf,Inf,0.538883987164071,Inf
"89",".",".","S Sp_Su - S F_W",Inf,Inf,Inf,0.369650262154743,Inf
"90",".",".","S Sp_Su - G F_W",Inf,Inf,Inf,0.546850168982987,Inf
"91",".",".","S Sp_Su - B F_W",Inf,Inf,Inf,0.336905998542586,Inf
"92",".",".","G Sp_Su - B Sp_Su",0.945223448780857,1.13953574444899,Inf,0.178526315678784,Inf
"93",".",".","G Sp_Su - N Su_F",Inf,Inf,Inf,0.366175756960959,Inf
"94",".",".","G Sp_Su - S Su_F",0.34402797572865,0.144688514706998,Inf,0.137710600921385,Inf
"95",".",".","G Sp_Su - G Su_F",17.6533413976032,283.739746147267,Inf,0.3030301788577,Inf
"96",".",".","G Sp_Su - B Su_F",0.78567949570465,0.779056933915095,Inf,0.173352931791634,Inf
"97",".",".","G Sp_Su - N F_W",Inf,Inf,Inf,0.212992782582304,Inf
"98",".",".","G Sp_Su - S F_W",0.377174343157986,0.167553417935218,Inf,0.146050999138196,Inf
"99",".",".","G Sp_Su - G F_W",2.0160742731785,3.5811538854129,Inf,0.275131277093761,Inf
"100",".",".","G Sp_Su - B F_W",0.558480857625511,0.356920658709308,Inf,0.170443927996029,Inf
"101",".",".","B Sp_Su - N Su_F",Inf,Inf,Inf,0.605086124358636,Inf
"102",".",".","B Sp_Su - S Su_F",0.540894474877547,0.352813861660376,Inf,0.162743590820756,Inf
"103",".",".","B Sp_Su - G Su_F",Inf,Inf,Inf,0.285137821192404,Inf
"104",".",".","B Sp_Su - B Su_F",4.65478426632456,20.4779848255147,Inf,0.279202929484585,Inf
"105",".",".","B Sp_Su - N F_W",Inf,Inf,Inf,0.278136248472109,Inf
"106",".",".","B Sp_Su - S F_W",0.627611292584511,0.457274228504283,Inf,0.174556672831549,Inf
"107",".",".","B Sp_Su - G F_W",Inf,Inf,Inf,0.277608753329936,Inf
"108",".",".","B Sp_Su - B F_W",1.36496267645586,1.63868822852282,Inf,0.258679792549911,Inf
"109",".",".","N Su_F - S Su_F",0.0834678701293926,0.0229068219213521,Inf,0.0422060515891026,3.73091075041697
"110",".",".","N Su_F - G Su_F",0.109522258639204,0.0397050682980728,Inf,0.047796416476414,Inf
"111",".",".","N Su_F - B Su_F",0.0966491619274348,0.030853766792481,Inf,0.045222252694888,Inf
"112",".",".","N Su_F - N F_W",0.135692647921499,0.0622084954465126,Inf,0.0515327771925665,Inf
"113",".",".","N Su_F - S F_W",0.0852863089248706,0.0237976016940639,Inf,0.0427716839410886,14.1906708408744
"114",".",".","N Su_F - G F_W",0.104493960845496,0.0357541145018881,Inf,0.0470929903566262,Inf
"115",".",".","N Su_F - B F_W",0.0920429831412885,0.0276171861164454,Inf,0.0444899200139518,Inf
"116",".",".","S Su_F - G Su_F",Inf,Inf,Inf,0.68119010235368,Inf
"117",".",".","S Su_F - B Su_F",Inf,Inf,Inf,0.382975882331619,Inf
"118",".",".","S Su_F - N F_W",Inf,Inf,Inf,0.620938816487181,Inf
"119",".",".","S Su_F - S F_W",Inf,Inf,Inf,0.415718525128053,Inf
"120",".",".","S Su_F - G F_W",Inf,Inf,Inf,0.646531019311746,Inf
"121",".",".","S Su_F - B F_W",Inf,Inf,Inf,0.372789810764245,Inf
"122",".",".","G Su_F - B Su_F",0.822275692235079,0.846588947419365,Inf,0.176166283302917,Inf
"123",".",".","G Su_F - N F_W",Inf,Inf,Inf,0.216765092898509,Inf
"124",".",".","G Su_F - S F_W",0.385408836647677,0.17336409116413,Inf,0.14809858082128,Inf
"125",".",".","G Su_F - G F_W",2.27600175555958,4.49986767908809,Inf,0.282980579240451,Inf
"126",".",".","G Su_F - B F_W",0.576726158170942,0.376964861074996,Inf,0.173273802153133,Inf
"127",".",".","B Su_F - N F_W",Inf,Inf,Inf,0.298857419651387,Inf
"128",".",".","B Su_F - S F_W",0.725420832216425,0.603138980151543,Inf,0.183103920212915,Inf
"129",".",".","B Su_F - G F_W",Inf,Inf,Inf,0.299825322101783,Inf
"130",".",".","B Su_F - B F_W",1.93129220443246,3.20427050804653,Inf,0.279480340985433,Inf
"131",".",".","N F_W - S F_W",0.229588685070756,0.0904791673936021,Inf,0.0955080286881108,Inf
"132",".",".","N F_W - G F_W",0.454476247810981,0.355767595589624,Inf,0.119959477563849,Inf
"133",".",".","N F_W - B F_W",0.286131775992419,0.138655787187566,Inf,0.104954900925898,Inf
"134",".",".","S F_W - G F_W",Inf,Inf,Inf,0.614924863684709,Inf
"135",".",".","S F_W - B F_W",Inf,Inf,Inf,0.362924937622854,Inf
"136",".",".","G F_W - B F_W",0.772464308021242,0.61119914868933,Inf,0.202290268020163,Inf
